Standard mean,0.7253606,0.095207386,0.05786138,0.041123223,0.032505494,0.02932992,0.02579287,0.02383191,0.022158038,0.020946503,0.020497827,0.01889067,0.017412826,0.016947677,0.015218203,0.014687551,0.013418232,0.013117304,0.012187955,0.011475112,0.011105588,0.0102844,0.00974496,0.009161949,0.008834568,0.008391325,0.008283427,0.00794833,0.007819723,0.007573345,0.007183984,0.007239825,0.006901419,0.006636681,0.006504645,0.006419051,0.006199262,0.00560175,0.005462146,0.005397841,0.005170817,0.004910151,0.004840499,0.004869315,0.004650458,0.004528041,0.004451692,0.004401172,0.004486404,0.004566137,0.004581905,0.004405907,0.004185819,0.004347448,0.004350468,0.004321138,0.004293978,0.004294432,0.004266334,0.00422907,0.004133007,0.004277491,0.004034137,0.004019538,0.003944653,0.003924461,0.003923692,0.003827155,0.003827867,0.003848967,0.003855228,0.003860208,0.003742119,0.003511751,0.003490991,0.00346309,0.003440172,0.003354723,0.003335119,0.003380016,0.00353584,0.003555265,0.003239323,0.002929369,0.002843842,0.002981734,0.003007605,0.003317054,0.003071067,0.002995337,0.002844925,0.002941941,0.002892189,0.002984496,0.002967828,0.002749912,0.002808675,0.00295513,0.002730432,0.002635718,0.002848872
Standard stdev,0.26158676,0.023221128,0.032795895,0.03207532,0.029213555,0.028893288,0.027195508,0.025929816,0.025329119,0.0246591,0.02614359,0.0233033,0.02282374,0.022451166,0.020443907,0.02056776,0.020420725,0.022068642,0.019983975,0.01921745,0.01943634,0.016992023,0.01694694,0.015494728,0.015853807,0.01608354,0.016311936,0.016210385,0.016275713,0.015756143,0.015440136,0.016089097,0.015687417,0.015766675,0.015462123,0.016111875,0.015050598,0.012643247,0.012545734,0.012266195,0.012442998,0.011876955,0.011989141,0.012015763,0.011841033,0.011916371,0.011917238,0.011740129,0.012172216,0.012413252,0.012404385,0.012409236,0.01168889,0.012293259,0.012093791,0.012139615,0.011773804,0.011797169,0.011623729,0.011866806,0.011772568,0.012318151,0.01160319,0.011695463,0.011629191,0.012010433,0.012175458,0.011568797,0.011886969,0.012649962,0.011944035,0.011613178,0.011781235,0.011208113,0.011286467,0.011579094,0.011741808,0.01128025,0.011270222,0.011244022,0.011839153,0.012216751,0.011597449,0.010883872,0.010968804,0.011720549,0.011153852,0.012181174,0.011728794,0.011535919,0.012161801,0.011705621,0.012662385,0.011642622,0.011542399,0.010907621,0.011260302,0.012226478,0.011426345,0.010918473,0.012614419
Sequential mean,0.9966123,0.058819514,0.026659137,0.01830353,0.013187268,0.01050064,0.007939384,0.006270689,0.004872603,0.004077118,0.003361885,0.00280422,0.00235875,0.002158765,0.00187932,0.001680562,0.001615921,0.001468125,0.00138501,0.001351882,0.001358483,0.001290263,0.001294091,0.001271611,0.001176632,0.001093018,0.001093269,0.00106987,0.00102359,0.000990912,0.000949203,0.000967172,0.000852946,0.000874639,0.000850955,0.000866428,0.000847921,0.000890044,0.000901371,0.000847651,0.000858132,0.000902746,0.000884424,0.00092935,0.000862291,0.000787099,0.000754468,0.000791549,0.000766955,0.000785121,0.000818325,0.000718539,0.000733933,0.000686599,0.000728944,0.00071018,0.000693517,0.000671453,0.000698113,0.000707791,0.000724489,0.000740651,0.000702542,0.000730364,0.000757337,0.00076422,0.000748058,0.000866638,0.000897331,0.000780548,0.000733568,0.000749636,0.00083309,0.000846113,0.000816205,0.00094606,0.00088902,0.000876176,0.000826432,0.000846219,0.000871182,0.000823946,0.000855913,0.000895991,0.000881066,0.000887021,0.000891263,0.000910806,0.000841037,0.000918981,0.000865491,0.000964742,0.000901917,0.000867061,0.000935918,0.000876266,0.000879705,0.000832577,0.000808924,0.000868001,0.000906853
Seq stdev,0.5429872,0.02690809,0.013072515,0.008117558,0.006597594,0.00730755,0.007288665,0.007411961,0.006707887,0.006420303,0.005983348,0.005604596,0.0052249,0.005012643,0.004595968,0.004443109,0.004390315,0.004172546,0.004097954,0.004064796,0.004110422,0.003925419,0.00396199,0.003894458,0.00362602,0.003406966,0.003379585,0.003455236,0.003393803,0.003114895,0.003108518,0.003155017,0.002892091,0.003031107,0.002975787,0.00302727,0.002903957,0.003011785,0.003247141,0.00294068,0.002972379,0.002933287,0.002817465,0.003051683,0.002853472,0.002591101,0.002284998,0.00250002,0.002271335,0.002362031,0.002253027,0.002062701,0.001909084,0.001700668,0.001954491,0.001924657,0.002263651,0.001730556,0.002011464,0.001772088,0.0017681,0.001786807,0.001769644,0.00170778,0.00197344,0.001968321,0.001805362,0.001833706,0.001777429,0.001797729,0.001809621,0.001760203,0.002297726,0.002069043,0.001756235,0.001924583,0.00184248,0.001898598,0.001979401,0.001731801,0.001733755,0.00174799,0.001722585,0.001722077,0.001788229,0.001654826,0.001684053,0.001666645,0.001617604,0.001573921,0.001590932,0.001739731,0.001377053,0.001211445,0.001308717,0.000903505,0.000751256,0.000628624,0.000635096,0.000759624,0.000741293
,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500
Data set,num of models,Epochs per measurement,total epochs,mapping layer size,params,seqparams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makedata1,100,5,500,4,56,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference,-0.2712517,0.036387872,0.031202243,0.022819693,0.019318226,0.01882928,0.017853486,0.017561221,0.017285435,0.016869385,0.017135942,0.01608645,0.015054076,0.014788912,0.013338883,0.013006989,0.011802311,0.011649179,0.010802945,0.01012323,0.009747105,0.008994137,0.008450869,0.007890338,0.007657936,0.007298307,0.007190158,0.00687846,0.006796133,0.006582433,0.006234781,0.006272652,0.006048474,0.005762041,0.00565369,0.005552623,0.005351341,0.004711706,0.004560775,0.00455019,0.004312685,0.004007405,0.003956075,0.003939965,0.003788167,0.003740942,0.003697223,0.003609623,0.003719449,0.003781016,0.00376358,0.003687368,0.003451885,0.003660849,0.003621524,0.003610958,0.003600461,0.003622979,0.003568221,0.003521279,0.003408517,0.003536839,0.003331595,0.003289174,0.003187315,0.003160241,0.003175635,0.002960517,0.002930536,0.003068419,0.003121661,0.003110572,0.002909029,0.002665638,0.002674787,0.00251703,0.002551151,0.002478547,0.002508687,0.002533797,0.002664658,0.00273132,0.002383409,0.002033378,0.001962776,0.002094713,0.002116343,0.002406248,0.002230029,0.002076356,0.001979433,0.0019772,0.001990272,0.002117435,0.00203191,0.001873646,0.00192897,0.002122553,0.001921509,0.001767717,0.00194202
Sum-stdev,0.40228698,0.025064609,0.022934205,0.020096439,0.017905575,0.018100419,0.017242086,0.016670888,0.016018503,0.015539702,0.016063469,0.014453948,0.01402432,0.013731904,0.012519938,0.012505434,0.01240552,0.013120594,0.012040965,0.011641123,0.011773381,0.010458721,0.010454465,0.009694593,0.009739913,0.009745253,0.00984576,0.00983281,0.009834758,0.009435519,0.009274327,0.009622057,0.009289754,0.009398891,0.009218955,0.009569573,0.008977277,0.007827516,0.007896437,0.007603438,0.007707688,0.007405121,0.007403303,0.007533723,0.007347253,0.007253736,0.007101118,0.007120075,0.007221775,0.007387641,0.007328706,0.007235969,0.006798987,0.006996963,0.007024141,0.007032136,0.007018728,0.006763862,0.006817597,0.006819447,0.006770334,0.007052479,0.006686417,0.006701622,0.006801315,0.006989377,0.00699041,0.006701252,0.006832199,0.007223846,0.006876828,0.00668669,0.00703948,0.006638578,0.006521351,0.006751838,0.006792144,0.006589424,0.006624811,0.006487911,0.006786454,0.00698237,0.006660017,0.006302974,0.006378516,0.006687687,0.006418953,0.006923909,0.006673199,0.00655492,0.006876366,0.006722676,0.007019719,0.006427034,0.006425558,0.005905563,0.006005779,0.006427551,0.00603072,0.005839048,0.006677856
Is it?,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
