a,b,a+a,1/(a+1),1-a
2.259613157,9.322072986,6.824655637,3.423833878,3.838252873
0.087010147,7.897929471,0.375252304,0.119287396,0.158264901
0.110038801,8.055509379,0.418217138,0.064333908,0.061525244
0.016292889,7.553743892,0.071084021,0.063438391,0.025067636
0.037300607,4.368430859,0.156550777,0.659137803,0.546408566
0.043343775,0.394420106,0.21692884,0.249631249,0.433570927
0.030128957,0.121520171,0.139878356,0.084253142,0.140634037
0.09709943,0.074204853,0.345709767,0.074556997,0.129379573
0.141241113,0.10057227,0.391097989,0.063697794,0.108138894
0.033370335,0.037148639,0.104590625,0.02235597,0.052778392
0.009219882,0.021725654,0.046142699,0.020789015,0.039301665
0.035949099,0.01924372,0.11188425,0.011575519,0.039945642
0.041524525,0.022532582,0.130959207,0.013537163,0.038739881
0.042746055,0.015393162,0.10978641,0.006956977,0.029566507
0.01364171,0.027060523,0.050142585,0.005342888,0.014387704
0.012686453,0.071139577,0.049505494,0.004824284,0.020002923
0.005814118,0.017672455,0.030994755,0.002655082,0.011704103
0.014704694,0.008187374,0.044829695,0.001820032,0.01084435
0.023919162,0.079739031,0.081096512,0.001552391,0.01537647
0.006751356,0.020120465,0.028725309,0.002972969,0.011674871
