a,b,a+a,1/(a+1),1-a
7.20735716,7.204470446,22.68240064,6.175899771,8.538303602
0.837355112,7.251226154,5.421482991,2.49680446,0.769360685
0.500486547,8.000562285,1.470097677,0.192720077,0.375546697
0.403614003,7.292545198,0.951574573,0.050487783,0.540295966
0.298099004,7.493101094,0.510003267,0.03704335,0.207468086
0.101584937,7.200204262,0.171906458,0.02575424,0.057466059
0.070213498,6.940049051,0.098468805,0.015204628,0.027424479
0.057279747,6.882734086,0.069987301,0.011090132,0.019991505
0.071544062,7.594607356,0.223812105,0.02693769,0.063004027
0.089983891,5.640190905,0.263151269,0.025824303,0.130049072
0.194867932,0.891196523,0.742355119,0.220465283,0.432322096
0.034656492,0.316931309,0.08304431,0.205348645,0.080938046
0.097755227,0.118907137,0.298651853,0.167948541,0.15889442
0.011406254,0.065890045,0.025371075,0.11353697,0.037910977
0.00950398,0.075528748,0.036298184,0.082881642,0.026284912
0.007969773,0.035734447,0.029217219,0.081493861,0.031191065
0.008997255,0.024807456,0.024934995,0.067018587,0.020954982
0.005153655,0.123845475,0.017993995,0.057412706,0.013878863
0.00536462,0.031696014,0.017050501,0.050702504,0.013534617
0.007046887,0.038293642,0.019241541,0.046701656,0.019382639
