a,b,a+b,a*b,(1/(1+a)) + (1/(1+b))
8.746980536,9.35506675,19.63613048,5.886208851,21.55213839
8.214719723,8.993879416,17.53082235,5.244576383,6.518597406
4.359103247,5.220743981,5.60949579,2.374090078,4.990643857
3.663802671,4.987027115,0.972001216,1.290331163,1.426174186
4.312809168,4.065053615,0.851130775,0.408226512,0.253061612
4.315556851,3.910056755,0.507185999,0.357159167,0.172133161
3.93940646,4.178401121,0.497502574,0.496248364,0.109458598
4.041410247,4.681689692,0.207152843,0.25594947,0.115675857
4.179248797,4.214939572,0.171794453,0.23826557,0.08269789
4.123708562,4.04342855,0.111594142,0.172388185,0.066630728
4.197331898,3.986663214,0.188237372,0.160601805,0.06398365
4.235571245,3.992104654,0.094782827,0.131360491,0.07064246
4.354699817,3.877930502,0.236629891,0.146825271,0.052123206
3.865043868,3.7246677,0.152485625,0.152798527,0.079789853
1.757076262,3.090169881,0.297500449,0.224175307,0.362174338
0.389799206,0.313333336,0.228654291,0.167376309,0.079535652
0.128143756,0.188623897,0.170571383,0.111531439,0.078963476
0.111936002,0.124993999,0.113132381,0.168433364,0.045523663
0.138728564,0.177882337,0.047342225,0.119698052,0.037940868
0.049452855,0.088028861,0.03016252,0.094531498,0.035058162
