a,b,a+b,a*b,(1/(1+a)) + (1/(1+b))
8.876895393,11.68976019,27.95128244,9.056219423,8.186377958
7.112334657,7.300982789,18.44112406,4.365635338,6.508115448
7.365530348,4.913791067,11.60398045,1.839741758,12.08878551
6.556831886,3.825787927,9.260414578,1.028223251,13.01344105
6.784295798,3.682487335,6.292340214,0.45230351,10.84257035
5.345511574,3.217599911,3.645728954,0.578500949,7.196852572
4.951112032,3.30936304,1.677049934,0.657298533,2.819541536
4.259631306,3.379272939,0.545890837,0.354459823,0.589022112
4.02484974,3.651627299,0.213163303,0.326458498,0.118600869
3.996314768,3.800172441,0.135849537,0.343074923,0.070922827
3.75997926,3.875501873,0.127950328,0.370232287,0.068566527
3.730312009,3.875293771,0.102967013,0.345484455,0.065089027
3.851367193,3.836303264,0.097721385,0.284639387,0.065363464
4.060677102,3.940398773,0.085542217,0.274744746,0.061307661
3.811871774,4.138383189,0.08829997,0.239953998,0.055686838
4.097309415,4.082070731,0.082211903,0.238342651,0.064210189
3.788361998,3.809245302,0.074666388,0.224023466,0.067916876
4.336667585,4.279253328,0.067764054,0.211562969,0.065218836
4.946825256,5.42379556,0.069957018,0.184339101,0.068599666
3.853801588,3.99145103,0.117742224,0.172144368,0.085936315
,,,,
a,b,a+b,a*b,(1/(1+a)) + (1/(1+b))
3.345989621,4.361219084,0.278506913,0.360814735,1.525557289
3.388910366,4.131599357,0.094174088,0.237092524,0.366015067
2.42493586,3.648706907,0.365178623,0.503085897,0.241088606
0.73655107,0.547261649,0.575907904,0.658226384,0.499262449
0.128892262,0.149918688,0.072162367,0.210346279,0.162863295
0.053050712,0.02667161,0.076572698,0.144580995,0.055605577
0.045079547,0.025870308,0.076238774,0.119317185,0.052198603
0.020573819,0.012295685,0.082829392,0.126276223,0.054050616
0.019687319,0.015276705,0.075127084,0.11202108,0.040702852
0.007121057,0.013426986,0.081761236,0.101056458,0.040469062
0.0041298,0.005464177,0.072747237,0.080340843,0.030971504
0.004839241,0.007031354,0.076148253,0.069209134,0.027514223
0.004166711,0.014988763,0.052715684,0.052745309,0.024229457
0.007294275,0.008482491,0.049110649,0.042538973,0.025323682
0.004645597,0.013608321,0.072529989,0.036597166,0.017919047
0.010408146,0.019258308,0.021073248,0.031196103,0.01732916
0.004928137,0.009560482,0.01513599,0.032911994,0.015558215
0.005885605,0.007230756,0.012096728,0.021850625,0.018686877
0.009742624,0.006581243,0.011914343,0.021703125,0.016120435
0.006122235,0.006306048,0.009080945,0.021622988,0.015453059
